preliminary_decision,review__confidence,review_evaluation,review__id,review__orientation,review__text,sentiment,sentiment_class
,2.0,-2.0,2.0,-1.0,"This paper involves the development of an application that simulates the BB84 protocol, an orderly work can be seen and without a doubt the understanding of some concepts of quantum physics that support quantum cryptography such as the non-cloning theorem and the principle of superposition and Interweaving is a task that has its merits. In addition, the use of software engineering is appreciated in the construction of the application, which is a very positive aspect, since generally when software creation is involved in frontier areas of knowledge, it is resorts to code-and-fix, with all the disadvantages that this entails. I believe that this manuscript should be directed to the area of ​​cryptography and security. In my specialty, which is computing in distributed environments, I do not see significant relevance and contribution of the manuscript. Using RMI, in my opinion, is not a contribution per se, since RMI is easy. to use if JAVA is used, however, it is not interoperable since it does not support other programming languages. In addition, RMI-based systems have a performance problem as they grow; The more they grow, the slower they become. On the other hand, According to some purists a client/server system is not a distributed system, according to others the client/server case is the most basic case of distributed computing, in short, speaking strictly from the area of ​​​​distributed computing I do not see relevance in this area of ​​this manuscript, however, it seems to me that in another area the paper could be relevant, since it is an orderly, clear and well-written work. I am not an expert in the area of ​​cryptography, but a few years ago I once heard an Englishman in a seminar talk about quantum cryptography and he mentioned a large number of simulators and applications, he even said he had applications that already used quantum cryptography among several. kilometers by means of optical fiber, then I think it is best to evaluate this manuscript in that area and not in the grid/distributed systems area, since in this area the paper in my opinion does not have original aspects, since it uses trivial aspects of the client/server principles. As I have said before, the paper has more issues of quantum physics and cryptography than of distributed computing, so abstracting from the area that concerns me, I see the use of a distributed environment technology used as a client/server, not interoperable and with scalability restrictions. A positive aspect of the paper is that the use of software engineering is appreciated. Regarding the area of ​​​​grid computing and distributed systems, the manuscript does not contain relevant aspects, it uses RMI to implement a client/server system, however, RMI is easy to use and as a good known paradigm in computing, performance is contrasted with ease of use, RMI does not escape that, because it is easy to use, but it does not have scalability. The document is well presented, perhaps table 2 and table 3 would be better to merge them using rows as computer and in the columns the details of the network, especially if more than a client/server scheme there is, for example, a network distribution ring. quantum keys, with more than 2 computers involved. I think that presented to the area of ​​cryptography and security would be more relevant.","{'neg': 0.018, 'neu': 0.872, 'pos': 0.11, 'compound': 0.9942}",Positive
accept,4.0,2.0,1.0,1.0,"Innovative proposal. Well structured. Correctly written. I only suggest: Explain the trapezoidal function on page 2 in more detail. Rewrite the previous paragraph to the trapezoidal function A(x). Enlarge the diagram in figure 1. Explain the proposed architecture shown in figure 2. Review reference by Feng et al. which is reference 2 and in a paragraph of column 2 page 1 is marked as reference 1. Article is not in the format requested by Infonor, please change to this format.","{'neg': 0.0, 'neu': 0.907, 'pos': 0.093, 'compound': 0.743}",Positive
,4.0,2.0,2.0,0.0,"The topic is interesting and is well structured in terms of the design of the proposal. The topic deals with an approach for improvement, however it only establishes an architectural proposal, focusing on the design, and does not indicate how this improvement will be evaluated or measured for the SDWs, it is recommended to add metrics or other aspects for this. It does not provide many details, it is recommended to increase the number. of pages to improve this aspect. There are not many bibliographical references to related works or efforts on the topic.","{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.9509}",Positive
,5.0,2.0,3.0,1.0,"With a high technical profile, it is a contribution to the topic. Too concise, it could be expanded on how (especially from the fuzzy contribution).","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
probably reject,4.0,-1.0,1.0,0.0,"- Innovative proposal for the application of an industrial engineering methodology to the field of requirements engineering. - There is no unification of terms throughout the document, related to the requirements engineering phase: 'eduction', 'elicitation'... The same term must always be used. - It is not evident how the gradual 'improvements' of the eduction process are quantified, and the 'improvement' in the quality of the documentation... how do they measure this improvement? - There are writing and spelling errors, particularly in the use of accent (tildes) and punctuation marks (use of commas and semicolons). The article proposes the use of a work philosophy from another area of engineering, to improve the quality levels of the requirements documents generated in a requirements elicitation process. I consider that from a technical point of view it would be important to support the analysis of results that they propose in a quantified measurement or comparison, which allows, through a more formal method than the descriptive one, to generate conclusions of 'improvement' in the quality of the products. associated with the requirements engineering process. It is not evident how they reach the conclusions generated, what are they based on to say that it is better or not, that it has fewer errors or not? It is an interesting proposal that can be applied in real cases of requirements engineering processes. Currently it contributes to reducing the crisis associated with this phase of software product development. The organization of the document can be improved considerably. I consider that they dedicate a large part of the article to expressing the associated conceptual framework, and less to the application of the technique in the case study and the analysis of results, sections in which the proposal presented can be further supported. Likewise, there are spelling and writing errors that, if avoided, can give greater value to the presentation of the article.","{'neg': 0.048, 'neu': 0.857, 'pos': 0.094, 'compound': 0.9226}",Positive
,4.0,-2.0,2.0,-1.0,"Try to apply a new strategy to requirements management. The applicability of techniques from manufacturing processes to software processes is not supported or considered. While it is true that there are authors such as Demming who propose that it is possible to do so, there are other authors such as Sommerville who propose that due to the characteristics of software development, manufacturing process techniques are not applicable to software. The authors of this article do not provide support regarding the validity of this aspect. The article begins by stating that the proposal is to improve the generation of requirements, however, it then follows that what is improved is the generation of the SRS. The eduction and generation of the requirements document are different aspects. In the case of experimentation that is presented, it is nowhere to be seen that problems are solved either in the eduction or in the generation of the SRS, they are rather implementation problems. The errors detected are basic aspects that any programmer with a minimum of experience knows how to solve, without the need for the SRS to specify the type of minimum validations that must be carried out as part of the system tests. The proposal lacks practical guides to help in its application. How should these POKA-YOKE reviews be carried out? What aspects should you pay attention to? Are there artifacts to guide the review? There are editing errors in the text (repeated words) There are spelling problems (word accentuation)","{'neg': 0.072, 'neu': 0.87, 'pos': 0.058, 'compound': -0.3939}",Negative
,4.0,1.0,3.0,-1.0,"Good practice to guarantee quality in requirements elicitation - The summary is poorly written, there should be no theoretical explanations - The translation of the summary is terrible - The article is not written in the third person - The POKA YOKE Section should come before the VARIABILITY section OF THE REQUIREMENTS AND COST OF QUALITY. - There are several spelling errors","{'neg': 0.119, 'neu': 0.805, 'pos': 0.076, 'compound': -0.4215}",Negative
probably reject,5.0,-2.0,1.0,-1.0,"The article details a requirements management proposal based on KAIZEN. The authors describe different methods and techniques to complement Kaizen. I understand that the main contribution of this work is, according to the authors, to complement and improve Kaizen for requirements elicitation and management. However, the authors of the article present only a theoretical construction of their proposal. I understand that the article needs work to be developed, in order to validate the proposal. However, since it is an article developed by six researchers, I consider that it should include more application aspects of the proposal.","{'neg': 0.0, 'neu': 0.943, 'pos': 0.057, 'compound': 0.6597}",Positive
,4.0,2.0,2.0,0.0,"Interesante trabajo.  si bien el documento muestra una propuesta, sería interesante mostrar aplicaciones.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
accept,4.0,1.0,1.0,0.0,"The paper describes an experience concerning the automated inspection of spectra for the Pipeline Hubble Legacy Archive Grism data.  Comments:  In the conclusions the authors say that ""We have identified two classes of flawed spectra which were not picked up by the automatic classification because of their very small number of training samples. Per construction machine learning techniques can not classify such outliers."" This sentence should be further explained. As Hastie, Tibshirani, and Friedman say in The Elements of Statistical Learning (see Chapter 7): ""it is too difficult to give a general rule on how much training data is enough; among other things, this depends on the signal-to-noise ratio of the underlying function, and the complexity of the models being fit to the data. "" So, by just saying that the number of training samples is small you do not provide enough information to decide whether machine learning techniques are adequate or not to solve a problem.  Other minor comments:  + If reference [2] has not yet been written or published it should be deleted from the paper.  The dataset may be of scientific importance.  It is mainly descriptive.","{'neg': 0.021, 'neu': 0.909, 'pos': 0.07, 'compound': 0.7596}",Positive
,4.0,2.0,2.0,1.0,"This manuscript addresses an interesting solution based in machine learning techniques to classify spectra legacy data of the Hubble Space Telescope in order to publish the results and ""good"" spectra in Internet to scientific community. The manuscript is well-written and results are robust. Experiment is sound and the manuscript seems acceptable in the current form. The work can be short, but very interesting to the Infonor and JCC community.  The main problem of the paper is that it is difficult to compare results for the classifiers utilized. A confusion matrix and parameters for each classifier could clarify results.","{'neg': 0.088, 'neu': 0.817, 'pos': 0.095, 'compound': -0.296}",Negative
,5.0,1.0,3.0,0.0,"Interesting application domain.  Nothing new from a machine learning perspective. They authors should provide more information about the models they have obtained with the different classifiers (feature subset selection used, selected features, accuracies, statistical significance on the differences on accuracies, the models themselves, ...). Semi-supervised classification is the appropriate method for the last paragraph in the ""Methodology"" section.","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.5859}",Positive
accept,5.0,2.0,1.0,1.0,"This paper presents a tool (SAVE) for software architecture verification. SAVE performs a static check of rules associated with permitted and prohibited dependencies between design and code elements, and allows a report to be delivered on the consistency between both levels with respect to said rules. Overall the tool seems quite powerful for two reasons: the use of simple rules and the inclusion of pre-defined rule sets for widely used design patterns. This, in my opinion, is the most important difference with other similar frameworks. The writing is, in some places, not very objective. In particular, I would suggest avoiding excessive use of adjectives for which no supporting evidence is provided. For example, in several places I noticed the use of ""powerful tool"", ""intuitive tool"" or similar (not only referring to SAVE, but to other works). In all these cases, evidence is not explicitly provided to support the use of said adjectives. Another detail that requires fixing is the title that appears in the PDF file: ""Prediction of behavioral dynamics..."", which does not match the title of the paper. The authors probably used a template from a previous paper with that title.","{'neg': 0.017, 'neu': 0.891, 'pos': 0.092, 'compound': 0.9157}",Positive
,4.0,1.0,2.0,0.0,"Verifying the architecture of a software product can be a great contribution to its quality, therefore, any tool that facilitates this task is a contribution to software engineering. They present evidence of a prior review of alternative or complementary methods and tools to the proposal. The descriptions presented are accompanied by explanatory examples. The role and interaction of the domain expert is not clear. In the initial sections it says that the tool performs static and dynamic analysis, however at the end of the article, in the identification of possible improvements to SAVE it is proposed to include dynamic analysis, which contradicts the initial statement. The description of the tool's operation is not clear enough. The quality of the figures is not adequate, due to their size and resolution it is not possible to appreciate the details well. The article writing can be improved. There are several sentences where connectors are missing, for example ""In this section, we will see S.A.V.E. manages to recover the existing dependencies in the source code...."" Many errors in the accentuation of the words.","{'neg': 0.078, 'neu': 0.811, 'pos': 0.111, 'compound': 0.8244}",Positive
accept,3.0,2.0,1.0,1.0,"Novedosa propuesta, muy valorable la vinculación de personas del ámbito empresarial lo que permite que la teoría y propuestas para ingeniería de software puedan ser probadas en ambientes reales. Bien estructurado y muy bien redactado.  Solo sugiero esquematizar las actividadesde aplicación de entrenamiento White Belt IR - SixSigma y revisar pequeños detalles de redacción.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
,4.0,2.0,2.0,0.0,Buena práctica para mejor la calidad en la ingeniería de requisitos  - En el resumen no debería haber teoría - Debería haber un caso de estudio para ver mejor la aplicación de la metodología,"{'neg': 0.066, 'neu': 0.934, 'pos': 0.0, 'compound': -0.296}",Negative
accept,3.0,2.0,1.0,0.0,Interesante propuesta en un ambiente de desarrollo de software que es bastante pobre en aspectos metodológicos de desarrollo.  Falta un poco de trabajo relacionado o quizás discutirlo mejor en la introducción con referencias para fundamentar la interesante propuesta. Revisar redacción. No está en formato pedido por Infonor. Se sugiere no agregar links de páginas web en el texto del artículo.,"{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.5267}",Negative
,3.0,2.0,2.0,-1.0,"The authors have designed a methodology to develop software to support scientific research projects. They identify quite precisely the differences between the development of research software and software for commercial purposes. Likewise, they propose a methodology following an approach of agile software development methods. The proposal is in a design phase, has been developed based on interviews with potential users and is susceptible to being tested in future research. In my opinion, the article lacks a section that explains the methodology that the authors followed to arrive at the proposal. Reference is made to interviews with: ""participants in this type of projects"", however, it is not reported how many people were consulted, how the interviewees were selected, what instruments were applied and how the data were analyzed.","{'neg': 0.0, 'neu': 0.978, 'pos': 0.022, 'compound': 0.4019}",Positive
,5.0,-1.0,3.0,-1.0,"Considero, antes que nada, que el ámbito de desarrollo de la temática (desarrollo de software en ambientes de investigación...) no ""otorga permiso"" para realizar este desarrollo en forma más informal (tiempos, relajos en versiones, escasa documentación, etc.). 2º, no veo porque se plantea sólo SCRUM, sin hacer comparaciones básicas con los otros exponentes ""clásicos"" de metodologías ágiles (XP y FDD), lo cual le otorga una cierta ""liviandad"" al análisis inicial de parte de los autores (sin duda se podría ahondar un poco más, sobretodo con XP).","{'neg': 0.089, 'neu': 0.911, 'pos': 0.0, 'compound': -0.7906}",Negative
accept,4.0,2.0,1.0,2.0,"It is an article that presents a novel topic in the area of Software Engineering. The article is very well documented and substantiated. The technologies used in the development of the prototype are of current interest. As the article describes, it is a first step in a line of research and the development of a prototype of a meta-case application. In this sense, it remains unclear what the current level of maturity is, both of the research and of the developed application.","{'neg': 0.024, 'neu': 0.883, 'pos': 0.093, 'compound': 0.6901}",Positive
,3.0,2.0,2.0,0.0,"This paper presents a software tool that is useful in the context of software engineering. The authors do a good job describing the technical details of the tool. However, there is little information about the novel aspects of the proposed tool, How the proposal compares to other existing tools (if any)?","{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.7964}",Positive
,4.0,2.0,3.0,2.0,"Very clear, precise and high-level work","{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4391}",Positive
accept,4.0,2.0,1.0,2.0,"The article presents the design of a prototype that implements a system for data acquisition through wireless mobile devices, applied to mining, specifically in the monitoring of particulate matter. The application of mobile technology to a specific problem of the Chilean mining industry is interesting; in addition, the article very clearly describes the problem and the proposed prototype. The article is novel since it proposes the use of computing (data processing) and mobile device technologies applied to a specific problem of the Chilean mining industry. The problem, the technology presented (BUG) and the proposed prototype are clearly described. The application of current mobile computing technologies in important industrial sectors of the country is relevant. The main title and summary must be written in Spanish and English (they only come in Spanish). Furthermore, the article presents a list of 29 references, but only refers to one (the first on the list). It even appears in the PCFactory References, and it is not very clear why.","{'neg': 0.062, 'neu': 0.879, 'pos': 0.059, 'compound': -0.3733}",Negative
,4.0,2.0,2.0,0.0,Considers the use of mobile technologies to incorporate the measurement of particulate matter that exists inside a mine. It will be interesting to see the advantages and disadvantages of this application with other existing ones. It is a study only. There are no results yet.,"{'neg': 0.1, 'neu': 0.772, 'pos': 0.128, 'compound': 0.1027}",Positive
reject,4.0,-1.0,1.0,-1.0,"An extensive work is appreciated that is valued, however several inconsistencies are observed throughout the work. On page 4, figure 1, we see the indication of a conceptual model, this being of the snowflake type, however the correct thing would be to indicate that it is a logical design scheme and not a DW conceptual design. Furthermore, a correct conceptual scheme should not indicate the type of data. Also in this aspect, reference is made to a star schema bibliography. There was a lack of research on conceptual models for DW to avoid the above. A lot of redundancy in technical problems that should not be of importance to the article. There is talk of business intelligence but in a strict sense, if business intelligence is applied, an “expert” analyst is needed who is capable of making decisions with the trends found in the study, which is not presented in the article. References to related works are missing, as only books are referenced. A review of related works would have been very useful in the sense of better structuring the article. There are methodologies to outline the ETL process that would have allowed us to improve this aspect described in the article.","{'neg': 0.044, 'neu': 0.837, 'pos': 0.119, 'compound': 0.9597}",Positive
,3.0,-2.0,2.0,-1.0,The article presents the process of building a data warehouse to implement OLAP on marine resource exploitation data on the coasts of Chile. The problem is clearly defined and has relevant practical application for the country. The work presented corresponds to a very complete and detailed use case of well-known data mining techniques. The ABSTRACT must be edited to represent an appropriate and readable translation of the ABSTRACT. The original contribution of the work is not evident. The original conclusions of the article are related to the application domain (marine resource exploitation statistics) and not to topics relevant to the conference. Missing information in the bibliography should be completed.,"{'neg': 0.043, 'neu': 0.893, 'pos': 0.064, 'compound': 0.34}",Positive
,4.0,-2.0,3.0,-1.0,"The article presents the development of a solution to the problem of analyzing trends in the landing of marine species on the Chilean coastline, using business intelligence tools. a) formatting aspects 1. the English version of the title and summary of the article contains grammatical, editorial, and style errors. 2. Use of capital letters: chile --> Chile national fishing service --> National Fishing Service kettle --> Kettle table 1 --> Table 1 api --> API etc. 3. Figure 2 is not referenced This figure shows --> Figure 10 shows 4. paragraph after Figure 1 is written in 1 column. It must be in 2 columns 5. format does not completely match the Infonor format. b) background aspects 1. The article does not report research results. It is an application of BI techniques to provide online data analysis support. 2. It is weak in terms of the background of processes and techniques used. Although 12 references are listed, only 2 or 3 of them are cited repeatedly. There is no review of related works (cases of BI applications.) 3. Given the orientation of the article, the (potential) use of the results should be much more detailed. In this sense, there must be greater and better interpretation/evaluation by users of the information analysis.","{'neg': 0.047, 'neu': 0.891, 'pos': 0.062, 'compound': 0.5106}",Positive
accept,4.0,-1.0,1.0,0.0,"This paper makes a categorization of ways to integrate business rules into a design using the aspect-oriented paradigm and proposes a documentation template for business rules based on said categorization. The paper provides useful information about the particular problem, as well as a reasonable categorization of different aspects in this problem. It is a good starting point for research along those lines. Although the information provided in the paper is extremely relevant for research on this topic, it is insufficient to accept it as a complete and self-contained work. The reason is that the paper focuses on identifying problems and proposing an artifact (the template) that should solve these problems. However, it does not present evidence as to why this template is a good alternative to solve these problems. This requires the elements mentioned in future work, specifically the formal specification and the automatic tool to create templates and map them to AOP. My suggestion is to wait until these elements are ready to complete this paper and submit it to a new conference.","{'neg': 0.072, 'neu': 0.812, 'pos': 0.115, 'compound': 0.7269}",Positive
,3.0,2.0,2.0,-1.0,"The work presents a viable alternative to solve the problem of changing business rules. It can be improved by adding a little more background to the aspects topic, given that prior knowledge of this topic is assumed, so the paper is not self-contained.","{'neg': 0.059, 'neu': 0.833, 'pos': 0.107, 'compound': 0.296}",Positive
,4.0,0.0,3.0,-1.0,"The work presents a methodology to address the complexity of implementing business rules without making changes to the base functionality of a system. It proposes a clear methodology based on documentation through templates to manage and analyze the impact of implementing a business rule via aspect orientation. The reasons presented to indicate that the OA approach to encapsulating the connection between business rules and base functionality is a non-trivial task are general and should be addressed in more depth. It does not present formal evidence that the use of the proposed templates concretely solves a problem. It is suggested to present a problem solved through the tool that is under development that automatically manages the templates. Failing that, demonstrate the application to a specific problem.","{'neg': 0.089, 'neu': 0.858, 'pos': 0.053, 'compound': -0.6808}",Negative
accept,3.0,0.0,1.0,0.0,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
,5.0,2.0,2.0,0.0,"It is an article that presents an interesting diagnosis of software development companies in Chile. They incorporate an initial statistical base that gives formality to the work carried out, specifically for determining the base sample for the development of the surveys. However, the statistical data of the results are not part of the work presented. Presentation of statistical results that validate the conclusions presented and the findings found regarding the diagnosis. The authors are recommended to continue the work in order to incorporate the statistical bases trending in companies in the sector in other countries. Other recommendations: Exhaustive review of English and, particularly for the presentation of the article, the translation of this language should be carefully reviewed. Check particularly the title, where there is an error in the first word.","{'neg': 0.031, 'neu': 0.908, 'pos': 0.062, 'compound': 0.5106}",Positive
accept,4.0,-1.0,1.0,-1.0,"The development of a prototype for a tool for automatic assignment of software requirements between developers is presented. This tool can be very useful for software development teams. It is about making a contribution through this tool to the quality of the products developed. The heuristic used to assign requirements to programmers is not explained. A study of the existing requirements management tools is not presented, demonstrating that there are no alternative tools to the one presented. And if there are alternatives, justify why to develop a new one. The functionalities of the tool are not clearly explained. There is no evidence of the improvement of the process by including this tool, it is only said in the conclusions that ""the change in the quality of the process is perceptible"" The bibliographic references used are mostly web pages, a bibliographic review is not noted in the databases. of specialized data. The figures are not well distinguished. Bibliographic references do not comply with the established format. You must write in the third person.","{'neg': 0.049, 'neu': 0.916, 'pos': 0.035, 'compound': -0.0719}",Negative
,4.0,1.0,2.0,0.0,"- Innovative proposal for requirements planning for a software factory, as a contribution towards improving project quality. - Although the title of the article is oriented towards 'requirements planning', this point is only addressed again when they narrate how they implemented the prototype. - They do not include a conceptual basis that supports the role that requirements management plays in the software development process and particularly in ensuring the quality of the process. - It is not evident how with a contribution to the automatic planning of the requirements for the software factory, this will allow you to reduce your development times (estimated vs. actual) and therefore ensure greater quality. - The relationship that exists between the proposal made within the framework of CMMI is not very clear. The article proposes a requirements planning model, supported by an automatic tool. The prototype they propose is interesting and relevant. I think that the model and method they propose associated with it can be better organized, which is actually the real contribution of the authors. I consider that from a technical point of view it would be important that the analysis of results that they propose with the case study of the bank was done through an interpretation or quantitative comparison, which really shows that with this automatic planning the quality is really being improved. of the process and/or at least the estimate and actual execution of development times will be shorter, a scenario that according to precedents has already been justified in its direct relationship with quality. It is an interesting proposal that can be applied in real cases of requirements engineering management processes. Currently, it would contribute to the reduction of times associated with this phase of software product development, and consequently with the quality of the process. Taking into account that Requirements Engineering has so many problematic causes and actions, which generate software crises and therefore an impact on quality management, it remains an open question as to whether a contribution towards the 'planning' of the requirement will actually achieve a considerable effect, with respect to other causes or crucial points such as 'requirements prioritization', validation and/or its traceability as such. The organization of the document can be improved in the following aspects: - Some of the figures included are not necessary, since they do not really provide anything additional to what is described in the text, and visually they do not say much. - In the 'APARD Design' section they name many technical aspects characteristic of the reference software factories, which do not give greater weight to the intention of the article, nor are they providing truly influential data for the application. - The quality of the figures can be optimized (mainly those that show the internal components of the algorithm and the actions of use of the system - profiles, since they are the ones that show the greatest contribution). - There are several editorial errors that should be reviewed (for example: the use of 'on the basis of', should be changed to 'based on'; 'use is made', to 'it is used'...)","{'neg': 0.015, 'neu': 0.873, 'pos': 0.112, 'compound': 0.9932}",Positive
,4.0,0.0,3.0,-1.0,"- The APARD tool - The topic associated with requirements and software factory is interesting - The practical case that considers the use of APARD with its advantages and limitations is not detailed - The section that explains the implementation of the APARD solution must be improved - Improve conclusions - The presentation: with spelling and writing errors, written in the first person, figures with very small letters, white letters in figures make it poorly readable, references written in different ways, etc. - It is recommended not to use Wikipedia as a reference for a scientific article. - Author is missing in references 6, topic name is missing in reference 13 - Reference 7 is written with author in a different way than the others and with title before author. - Change “Keywords” to “Keywords”. - According to the format, put at least 5 keywords. - It gives reference in another format, for example, Greenfield and Short (2003) - There is a lot of detail about technologies and tools and products detailed in the APARD Technology Specification section - What does IQNET[z] mean? - I suggest putting the sections that make up the paper in Introduction.","{'neg': 0.036, 'neu': 0.882, 'pos': 0.082, 'compound': 0.8176}",Positive
accept,4.0,2.0,1.0,0.0,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
